"Time", "Wind Dir", "Wind Speed", "Max Wind Dir", "Max Wind Speed", "Temp.", "Humi.", "HeatIndex", "Pres.", "QFF.", "Prec.", "Vis.", "Weather."
"11/03 13:30", "96", "4.1", "98", "5.6", "22.9", "81.5", "22.8", "968.5", "1012.4", "0.0", "", ""
"11/03 13:45", "99", "3.8", "101", "5.1", "22.4", "84.4", "21.9", "968.7", "1012.6", "0.0", "", ""
"11/03 14:00", "86", "4.3", "96", "5.4", "22.3", "84.3", "21.8", "968.7", "1012.7", "0.0", "", ""
"11/03 14:15", "86", "4.6", "73", "6.2", "22.4", "83.5", "22.1", "968.8", "1012.8", "0.0", "", ""
"11/03 14:30", "105", "4.7", "107", "6.4", "22.9", "81.3", "22.9", "968.8", "1012.7", "0.0", "", ""
"11/03 14:45", "100", "4.6", "90", "6.6", "23.3", "79.6", "23.5", "968.9", "1012.7", "0.0", "", ""
"11/03 15:00", "107", "5.5", "110", "8.6", "23.4", "78.5", "23.8", "968.9", "1012.8", "0.0", "", ""
"11/03 15:15", "109", "5.6", "118", "9.5", "24.2", "74.8", "24.9", "969.1", "1012.8", "0.0", "", ""
"11/03 15:30", "86", "5.7", "82", "7.2", "23.4", "78.7", "23.8", "969.1", "1013.0", "0.0", "", ""
"11/03 15:45", "87", "6.0", "90", "7.6", "22.4", "83.5", "22.1", "969.1", "1013.1", "0.0", "", ""
"11/03 16:00", "88", "6.1", "93", "8.0", "22.2", "84.6", "21.6", "969.1", "1013.1", "0.0", "", ""
"11/03 16:15", "88", "6.5", "96", "8.4", "22.5", "82.4", "22.3", "969.2", "1013.2", "0.0", "", ""
"11/03 16:30", "86", "6.4", "87", "8.0", "22.6", "82.3", "22.4", "969.1", "1013.1", "0.0", "", ""
"11/03 16:45", "88", "6.3", "82", "8.4", "22.6", "81.9", "22.5", "969.1", "1013.1", "0.0", "", ""
"11/03 17:00", "73", "5.3", "90", "8.7", "22.6", "82.1", "22.5", "969.2", "1013.1", "0.0", "", ""
"11/03 17:15", "69", "4.9", "76", "6.6", "22.2", "84.9", "21.5", "969.1", "1013.1", "0.0", "", ""
"11/03 17:30", "60", "4.3", "59", "5.4", "21.7", "87.7", "20.6", "969.0", "1013.1", "0.0", "", ""
"11/03 17:45", "81", "5.2", "76", "7.4", "21.6", "88.5", "20.3", "968.9", "1013.0", "0.0", "", ""
"11/03 18:00", "73", "4.3", "82", "6.4", "21.6", "89.0", "20.1", "968.8", "1012.9", "0.0", "", ""
"11/03 18:15", "64", "3.9", "68", "5.4", "21.2", "90.8", "19.3", "968.6", "1012.8", "0.0", "", ""
"11/03 18:30", "66", "3.6", "53", "5.6", "21.1", "91.6", "18.9", "968.5", "1012.7", "0.0", "", ""
"11/03 18:45", "61", "4.5", "51", "6.2", "21.0", "91.9", "18.8", "968.4", "1012.6", "0.0", "", ""
"11/03 19:00", "77", "5.0", "68", "6.2", "21.0", "91.6", "18.9", "968.4", "1012.5", "0.0", "", ""
"11/03 19:15", "81", "6.0", "84", "7.4", "21.2", "90.7", "19.3", "968.2", "1012.3", "0.0", "", ""
"11/03 19:30", "79", "6.3", "73", "8.0", "21.3", "89.4", "19.8", "968.1", "1012.2", "0.0", "", ""
"11/03 19:45", "80", "6.6", "73", "8.4", "21.3", "89.7", "19.6", "968.1", "1012.2", "0.0", "", ""
"11/03 20:00", "74", "6.1", "73", "7.6", "21.3", "89.3", "19.8", "968.0", "1012.1", "0.0", "", ""
"11/03 20:15", "80", "6.3", "73", "7.2", "21.1", "90.8", "19.2", "967.9", "1012.1", "0.0", "", ""
"11/03 20:30", "81", "5.7", "84", "7.2", "20.8", "92.1", "18.6", "967.9", "1012.0", "0.0", "", ""
"11/03 20:45", "97", "4.4", "127", "7.6", "21.1", "91.3", "19.0", "967.9", "1012.0", "0.0", "", ""
"11/03 21:00", "107", "5.7", "121", "9.5", "22.3", "86.0", "21.5", "968.0", "1011.9", "0.0", "", ""
"11/03 21:15", "78", "6.1", "98", "7.8", "21.6", "88.4", "20.3", "968.0", "1012.1", "0.0", "", ""
"11/03 21:30", "79", "7.2", "76", "8.6", "21.1", "90.9", "19.2", "968.0", "1012.2", "0.0", "", ""
"11/03 21:45", "79", "6.8", "73", "8.6", "21.2", "90.6", "19.4", "968.0", "1012.1", "0.0", "", ""
"11/03 22:00", "76", "6.2", "79", "8.0", "21.2", "91.1", "19.2", "968.0", "1012.1", "0.0", "", ""
"11/03 22:15", "71", "5.5", "70", "6.8", "20.9", "91.9", "18.7", "968.0", "1012.2", "0.0", "", ""
"11/03 22:30", "72", "5.8", "73", "7.6", "20.7", "92.8", "18.3", "968.0", "1012.2", "0.0", "", ""
"11/03 22:45", "74", "5.7", "84", "7.8", "20.7", "92.9", "18.2", "968.2", "1012.4", "0.0", "", ""
"11/03 23:00", "82", "5.8", "79", "8.7", "20.9", "92.1", "18.6", "968.4", "1012.6", "0.0", "", ""
"11/03 23:15", "104", "6.0", "104", "10.3", "21.6", "89.2", "20.1", "968.4", "1012.5", "0.0", "", ""
"11/03 23:30", "111", "6.3", "107", "11.9", "22.2", "86.1", "21.3", "968.5", "1012.5", "0.0", "", ""
"11/03 23:45", "108", "7.3", "93", "13.0", "22.3", "85.7", "21.5", "968.6", "1012.6", "0.0", "", ""
"11/03 24:00", "104", "7.9", "118", "11.7", "22.7", "84.0", "22.3", "968.7", "1012.6", "0.0", "", ""
"Average", "87", "7.0", "88", "10.5", "24.5", "74.5", "25.2", "968.4", "1012.1", "undefined", "-", ""
"Minimum", "undefined", "undefined", "undefined", "undefined", "20.7", "55.3", "18.2", "966.2", "1009.1", "undefined", "-", ""
"Time", "undefined", "undefined", "undefined", "undefined", "11/03 22:45", "11/03 06:45", "11/03 22:45", "11/03 09:00", "undefined", "undefined", "", ""
"Maximum", "92", "14.2", "90", "20.2", "29.4", "92.9", "31.1", "971.2", "1014.8", "0.0", "-", ""
"Time", "", "11/03 05:00", "", "11/03 04:45", "11/03 08:15", "11/03 22:45", "11/03 07:15", "11/03 02:30", "undefined", "undefined", "", ""
